Date,Close (in $)
10/20/2021,865.8
10/21/2021,894
10/22/2021,909.68
10/25/2021,1024.86
10/26/2021,1018.43
10/27/2021,1037.86
10/28/2021,1077.04
10/29/2021,1114
11/01/2021,1208.59
11/02/2021,1172
